dialect,standard,naive_response,BLEU_score,ori_sim,new_sim,relative_sim,dialect_correction,standard_preserve,new_response,gram_response
BLEU
sim
"아니 , 나는 나는 ᄄᆞᆫ 디 강 살고 , 집 상 강 ᄄᆞᆫ 디 강 살고 .","아니 , 나는 딴 데 가서 살고 집 사서 가서 딴 데 가서 살고 .","아니요, 저는 저는 제 강에서 살고 있으며, 집 상강에서 살고 있습니다.",0.02,0.49,0.448,0.914,0.0,0.941,"아니죠 , 저는 저는 강가에 살고 , 집 상 강가에 살고요 .",0.022,0.49,0.482,0.984,0.0,1.067,"아니요 , 저는 저는 바다 살고 , 집 상 바다 살고요.",0.02,0.49,0.521,1.063,0.0,0.667
"우리도 베 서도양 , 우리 아이덜 두건 백 개 사단 , 다 사단 .","우리도 베 있어도요 우리 아이들 두건 백 개 사다가 , 다 사다가 .","우리도 바다를 보러 가고, 우리 아이돌 두건 100개를 사서 모두 입을 것이다.",0.024,0.736,0.611,0.83,0.0,0.526,"우리도 베서도 양 , 우리 아이들에게 백 개씩 산다 , 다 산다 .",0.058,0.736,0.681,0.925,0.25,0.667,"우리도 잘 생각해봤는데, 우리 아이들 두건 백 개씩 사야겠어요, 모두 사야겠어요.",0.207,0.736,0.858,1.166,0.25,0.556
"경허주게 , 경헌디 그 ᄉᆞ삼사건 후에 저 산 고지 간에 이젠 숫을 묻엇주 . 묻으난 허가 잘 아이 마탓젠 .","그렇지 , 그런데 그 사삼사건 후에 저 산 숲에 가서 이젠 숯을 묻었지 . 묻으니까 허가 잘 안 받았다고 .","경치가 좋다, 경치가 좋은 그 산 고지에 봄에 이제부터 쌀을 심었다. 심은 건 잘 자라기를 바란다.",0.016,0.565,0.276,0.488,0.0,0.348,"경험 적으로 , 경험한 그 사건 후에 저 산 고지 간에 이제 숫을 심어 주었어 . 심은 건 내가 잘 아는데 말야 .",0.07,0.565,0.536,0.949,0.0,0.593,"경험만큼 , 경험한 그 사건 후에 저 산 고지 가서 이제 숫을 묻었어요 . 묻은 건 제가 잘 모르겠어요 .",0.083,0.565,0.667,1.181,0.1,0.583
corr
"무신걸로 멘든 거라 , 그건 ?","무엇으로 만든 거야 , 그건 ?",무슨 목적으로 그것을 하는 것인가요?,0.0,0.503,0.7,1.392,0.0,0.0,무신경으로 만든 거라는 거죠 ?,0.044,0.503,0.584,1.161,0.333,0.4,"무슨 걸로 만든 거야 , 그건?",0.234,0.503,0.953,1.895,0.667,0.333
pres
BAD
예 . 볼목리에선 ᄎᆞᆯ레가 뭐꽈 ? ᄎᆞᆯ레 .,예 . 보목리에서 ᄎᆞᆯ레가 뭡니까 ? ᄎᆞᆯ레 .,예. 볼목리에서는 철이 뭐예요? 철이예요.,0.0,0.816,0.556,0.681,0.0,0.25,예 . 볼목리에서는 철하나 뭐예요 ? 철하나 .,0.085,0.816,0.642,0.787,0.0,0.25,예. 볼목리에서는 천둥이 뭐야 ? 천둥.,0.027,0.816,0.576,0.706,0.0,0.25
잇지 안우꽈 ? 건 것도 계 .,있지 않습니까 ? 건 것도 계 .,있지 않아요? 그건 거기도 있어요.,0.031,0.92,0.564,0.613,0.5,0.25,있잖아요? 있던 것도 계시죠.,0.029,0.92,0.681,0.74,0.0,0.571,있지 않아요? 그러는 건 것도 그렇죠.,0.091,0.92,0.627,0.682,0.5,0.444
하여튼 고네할미는 잘 나 .,하여튼 달개비는 잘 나 .,어쨌든 할머니는 잘 계셔요.,0.048,0.519,0.188,0.362,0.0,0.286,어쨌든 우리 할머니는 잘 계시네요.,0.046,0.519,0.206,0.397,0.0,0.25,어쨌든 조부모님은 잘 지내고 있습니다.,0.046,0.519,0.278,0.536,0.0,0.25
아 이듸 이듸 자리젓만 헹 먹언 . 자리젓 .,아 여기 여기 자리젓만 해서 먹었어 . 자리젓 .,아 이리 와서 자리를 제대로 잡고 먹어라. 자리를 잡아라.,0.026,0.851,0.526,0.618,0.0,0.167,아 이러다가 자리잡기만 하네 . 자리잡기.,0.027,0.851,0.51,0.599,0.0,0.25,"아, 이러니까 이러니까 자리 정말 많이 먹는구나. 자리 정리.",0.0,0.851,0.557,0.655,0.0,0.167
