,dialect,standard,VGPT,EIGPT,FIGPT,EFIGPT
0,"하나 틀린 거 닮덴 , 한문 . 거 시험 본 거 다 적어 와서라 . 지 아방이 와 일학년이 이런 걸 다 보나 ? 첨 , 벨놈으 세상 다 나왓저 . 게난 그 손지가 허는 말이 하나 틀령 이점 감점 뒛젠 . 구십팔점 나올 거우덴 . 거 어떵사 헌디 요즘 아이덜 막 벨라져 .
","하나 틀린 거 같다고 , 한문 . 그거 시험 본 거 다 적어 왔더라 . 자기 아버지가 와 , 일학년이 이런 걸 다 보나 ? 참 , 별놈의 세상 다 나왔다 . 그러니까 그 손자가 하는 말이 하나 틀려서 이점 감점 됐다고 . 구십팔점 나올 거라고 . 그거 어떻게야 하는지 요즘 아이들 막 바라져 .
","하나 잘못했고, 한문도 시험본 것을 다 적어와서야. 우리 아버지가 와서 일학년이 이런 것을 다 보나요? 처음에 벨놈이 세상에 나왔을 때 그 손지가 하는 말이 하나 틀렸다는 이유로 감점을 받았었는데, 구십팔점을 맞을 것 같았어요. 이렇게 어떤가요? 최근의 아이들은 막 열심히 공부한다는 말입니다.","하나 틀린 거 같은데, 한문. 시험 본 거 다 적어 와서요. 제가 아버지가와 일학년도 이런 걸 다 보는 거니까요? 처음에는 뭐, 벨놈이 세상 다 나왔구나 했는데, 그 사람이 잘못 말한 게 하나 있는 거에 감점을 받았습니다. 구십팔 점이 나왔을 텐데요. 어떻게 하는 게 좋을까요? 요즘 아이들은 벨로 떠들썩해져 있습니다.","하나 틀린 것 같아, 한문. 시험 본 것 다 적어와서라. 지 아버지가 와 일학년이 이런 것을 다 본다고 하나? 처음에, 벨 소리가 세상 다 나왔었어. 그 손자가 하는 말이 하나 틀린 거라서 감점 받았지. 구십팔 점 나올 거야. 그 것 어떻게 하던 요즘 아이들은 막 외워서 대충 하는 거야.","한 가지 틀린 것 뿐이었는데, 한문 시험 본 것을 다 적어와서 이야. 우리 아버지는 와서 일학년이 이런 것을 다 보는가? 처음으로 벨눈 이라는 것이 세상에 나왔다네. 그래서 그 손자가 하는 말이 한 가지 틀렸다보니 이점 감점이 되었지. 구십팔점이 나올 게 분명하던데, 어떻게 이런 일이 벌어졌는지 요즘 아이들은 막 벨되네."
0,"예 . 볼목리에선 ᄎᆞᆯ레가 뭐꽈 ? ᄎᆞᆯ레 .
","예 . 보목리에서 ᄎᆞᆯ레가 뭡니까 ? ᄎᆞᆯ레 .
","예, 볼목리에서는 철레가 뭐에요? 철레.",예. 볼목리에서는 철새가 뭐예요? 철새.,"""예. 볼목리에서는 철레가 뭐야? 철레.""",예. 볼목리에서는 철새는 뭐예요? 철새.
0,"잇지 안우꽈 ? 건 것도 계 .
","있지 않습니까 ? 건 것도 계 .
",이거 안 가냐? 그거도 계속.,있다니까 왜 그러냐? 건 것도 있어.,"있지 않아요? 건 것도 계세요. (표준어로 바꾸면 ""있지 않아요?""와 ""건 것도 계세요""로 각각 물음과 응답으로 이루어진 문장이 됩니다.)",이것도 안돼요? 그럼 안 됐네요.
0,"옛날에 차반지 , 큰 차반지덜 헤영 , 그것에 놔근에 질루주게 .
","옛날에 채반 , 큰 채반들 해서 , 그것에 노서 기르지 .
","옛날에 차바지, 큰 차바지들을 입었을 때, 그것 때문에 허리가 아프게 되었다.","옛날에 차바지 , 큰 차바지들을 가져다가 , 그것에 놀러와서 자락을 길게 접어주게 .","옛날에 차반지가 있었는데, 큰 차반지들을 다 모아서 거기에 놓고 지루할 때 좀 보곤 했어.","옛날에 차바지, 큰 차바지들을 가져와, 그것에 놔두고 자루에 쌓아놓게."
0,"엇어예 . 구월덜 넘어가쿠다 . 백로 상강이 이신게 , 이때는 .
","없어요 . 구월 넘어가겠습니다 . 백로 상강이 있네요 , 이때는 .
","1. 어이야. 구월둘 넘어가자.
2. 백로 상강이 이신 분이세요. 이때는...","어이야. 9월이 지나가고 있어. 백로 상강이 오신 것 같은데, 이때는...","어떡해요? 구월둘 넘어가요. 백로 상강이 있으신 거예요, 이 때예요.",어머 예. 9월도 지나가고 있군요. 백로 상강이 오시는 시기인가 봅니다. 이때쯤이면요.
0,"아 , 칠성젠 어떵 허여 ?
","아 , 칠성젠 어떻게 해 ?
","아, 칠성이는 어떻게 지내고 있어?","아 , 칠성이는 어떻게 지내고 있어 ?","어, 칠성이 뭐해?","아 , 칠성이 어떻게 됐어 ?"
0,"홍세함 그거는 누가 허느냐 허면 .
","함 그거는 누가 하느냐 하면 .
","홍세함, 그건 누가 말했는지 말해봐.",확실히 그거는 누가 허락했나요? 허락하면서 말입니다.,홍세함 그건 누가 말이 맞냐면 맞다면.,"이게 누가 허락한거지, 허락했나요?"
0,"그 전이는 ᄎᆞᆫ혹헹 멘들안 .
","그 전에는 찰흙으로 만들었어 .
",그 전에는 찬란했던 많은들이 있었다.,그 전에는 천천히 걷는 사람들이 많았어요.,그 전에는 처음 본 사람들뿐이었어요.,그 전이는 찬바람이 부는 날들안.
0,"찢이면은 , 이것이 애기 이제 옷이엔 하면은 이거 영 헤근에 앞판 뒤판 아니 ?
","찢으면 , 이것이 아기 이제 옷이라고 하면 이거 이렇게 해서 앞판 뒤판 아니 ?
","이것을 찢으면, 이제 이 옷은 고장 나겠지. 앞뒤가 구분 안 되는 건 아니겠어?","찢으면, 이것이 아기 이제 옷이니까, 이거 영 헤쳐지면 앞판과 뒤판이 따로 될까요?","찢으면, 이 옷은 아기용인데, 입히려면 앞뒤가 없나요?","이 옷을 찢으면, 애기옷으로 쓸 수 있겠냐? 앞판과 뒤판이 구분되지 않아서요?"
0,"유월절 . 유월절 전의 . 옛날에는 유월절 전의 갈앗수다 . 유월 메칠날 유월 칠 일날 , 유월절 박아논 거 아니라 유월절이 그 유월절 전의 갈앗수다 . ᄒᆞᆫ 삼일 전이라도 ᄒᆞ를 전이라도 유월절 전의 .
","유월절 . 유월절 전에 . 옛날에는 유월절 전에 갈았습니다 . 유월 며칟날 , 유월 칠 일날 , 유월절 박아논 거 아니라 유월절이 그 유월절 전에 갈았습니다 . 한 삼일 전이라도 유월절 전에 .
","유월절. 유월절 전. 옛날에는 유월절 전에 가졌던 수다. 유월의 매월 7일날, 유월절을 박아놓은 게 아니라 유월절 전에 가졌던 수다. 3일 전이나 4일 전이나 유월절 전이다.",부활절 전날. 예전에는 부활절 전날을 갈아야 했어요. 부활절 첫날이나 일주일 전에 밭에 심은 것이 아니라 부활절 전날에 갈아야 했어요. 세일 전이나 금요일 전이라도 부활절 전날로 간주합니다.,"유월절. 유월절 전. 옛날에는 유월절 전의 갈앗숨이었다. 유월 메칠날, 유월 칠 일날, 유월절에 박아논 것이 아니라 유월절 전의 갈앗숨이었다. 한 삼일 전이나 전날이라도 유월절 전의 것이다.",4월의 대보름. 대보름 전에는 예전에는 대보름 전에 심던 거라고 하네요. 대보름을 맞이하는 날인 7월 7일이 아니라 대보름 전에 심은 거라고 해요. 3일 전이나 1일 전이나 대보름 전이라고 해요.
