,dialect,standard,VGPT,EIGPT,FIGPT,EFIGPT
0,"하나 틀린 거 닮덴 , 한문 . 거 시험 본 거 다 적어 와서라 . 지 아방이 와 일학년이 이런 걸 다 보나 ? 첨 , 벨놈으 세상 다 나왓저 . 게난 그 손지가 허는 말이 하나 틀령 이점 감점 뒛젠 . 구십팔점 나올 거우덴 . 거 어떵사 헌디 요즘 아이덜 막 벨라져 .
","하나 틀린 거 같다고 , 한문 . 그거 시험 본 거 다 적어 왔더라 . 자기 아버지가 와 , 일학년이 이런 걸 다 보나 ? 참 , 별놈의 세상 다 나왔다 . 그러니까 그 손자가 하는 말이 하나 틀려서 이점 감점 됐다고 . 구십팔점 나올 거라고 . 그거 어떻게야 하는지 요즘 아이들 막 바라져 .
","하나 틀린 것도 닮은 것이다, 한국어. 시험을 본 것을 모두 적어와서라. 이 아버지가 일학년 학생들이 이런 것을 다 보나? 처음에, 벨놈이 세상에 나왔다. 그 손지가 하는 말이 하나 틀렸으니 점수가 감점되었을 것이다. 구십팔점이 나올 것이었다. 이게 어떻게 된 일인지 요즘 아이들은 막 별꼴 같다.","하나 틀린 게 없었던 거니까, 한 문장. 그 시험 본 것 다 적어와서. 지금 어른이 되어서도 이런 걸 다 알아보나요? 처음, 벨몬트 세상 다 나왔을 때였습니다. 그래서 그 손자가 하는 말이 하나 틀렸기 때문에 감점을 받았던 거예요. 구십팔 점이 나올 거라고 예상됐을 텐데요. 이게 어떻게 된 건지 요즘 아이들은 벨라지 않아요.","하나 잘못된 것 같은데, 한 번. 시험 본 것 다 적어 와서라. 지금 어머니께서와 일학년이 이러한 것을 다 보나요? 처음, 벨먼의 세상 다 나왔구나. 그 손지가 하는 말이 하나 틀렸으니 점수가 감점될 거예요. 구십팔점이 나올 거예요. 그것 어떻게 하겠습니까? 요즘 어린이들은 막 벨라져.","하나 틀린 게 있다, 한 문제. 시험 본 것을 다 적어와서요. 너희 어른들도 오고 일학년 학생들도 이런 걸 다 보나요? 처음으로 벨먼이 세상에 나왔을 때였어요. 그러니까 그 손지가 하는 말이 하나 틀리면 감점이 있었어요. 구십팔점이 나올 거였는데. 이게 어떻게 된 건지, 요즘 아이들은 벨 소리를 듣자마자 벌써 알아요."
0,"예 . 볼목리에선 ᄎᆞᆯ레가 뭐꽈 ? ᄎᆞᆯ레 .
","예 . 보목리에서 ᄎᆞᆯ레가 뭡니까 ? ᄎᆞᆯ레 .
",어. 볼머리에서는 천마가 뭔가요? 천마.,네. 볼목리에서는 청량리가 뭐야? 청량리.,예. 볼목리에선 철이 뭐야? 철이야.,네. 볼목리에서는 뭐라고 하나요 ? 뭐라고요.
0,"잇지 안우꽈 ? 건 것도 계 .
","있지 않습니까 ? 건 것도 계 .
",이제 안오셨어요? 건 것도 계세요.,어떻게 안돼요? 건 것도 있어요.,이제 어디 있어요? 그건 것도 있어요.,있잖아요? 하나도 있어요.
0,"옛날에 차반지 , 큰 차반지덜 헤영 , 그것에 놔근에 질루주게 .
","옛날에 채반 , 큰 채반들 해서 , 그것에 노서 기르지 .
","옛날에 차 반지, 큰 차 반지들을 가져왔는데, 그것을 이리 저리 차분하게 보여주게.","옛날에 차는 것, 큰 차반지들을 만드셨나요, 그것을 놓고 그릇에 부으세요.","예전에 차바지, 큰 차바지들을 입었어요. 그것에 끈을 조이면서 꽝 소리를 내게 됩니다.","옛날에 차반이 있었는데, 큰 차반이라는 것이 있었어요. 그것을 놓고 그릇에 죽을 담겨서 먹게 했어요."
0,"엇어예 . 구월덜 넘어가쿠다 . 백로 상강이 이신게 , 이때는 .
","없어요 . 구월 넘어가겠습니다 . 백로 상강이 있네요 , 이때는 .
","어디있어요? 9월 돌넘어가다. 백로 상강이 이신 건, 그때였죠.","어이야. 아홉월도 지났네요. 하얀 치마 입은 분이 오셨는데, 그때였죠.","바꾸면 다음과 같다.
- ""어떻게 되었어요?"" 누워있던 사람이 넘어가고 있었어요.
- 백로산에 있는 상강이씨께서 이때는 왔었답니다.",어떻게 됐어요. 9월이 넘어가고 있어요. 흰으로 된 상강이 잇단거에요. 이때는요.
0,"아 , 칠성젠 어떵 허여 ?
","아 , 칠성젠 어떻게 해 ?
","아, 칠성이는 어떻게 지내고 있어?","어, 어떻게 지내고 있어요?","아, 칠성이 뭐해?","아 , 일하는 것은 어떻게 되고 있습니까?"
0,"홍세함 그거는 누가 허느냐 허면 .
","함 그거는 누가 하느냐 하면 .
","홍세함, 그거는 누가 한 거냐? 한다면요.",홍세함 그거는 누가 말하나요 말하면.,"홍세함, 그게 누구 거냐, 허면?",홍세함 그거는 누가 하느냐 하면.
0,"그 전이는 ᄎᆞᆫ혹헹 멘들안 .
","그 전에는 찰흙으로 만들었어 .
",그 전에는 쌀밭 사이로 들어가지 않았던 것 같아.,그 집은 참 잘 빛나는 집이에요.,그 전에는 찬바람이 분들안.,그 뒤로는 이들 안된다.
0,"찢이면은 , 이것이 애기 이제 옷이엔 하면은 이거 영 헤근에 앞판 뒤판 아니 ?
","찢으면 , 이것이 아기 이제 옷이라고 하면 이거 이렇게 해서 앞판 뒤판 아니 ?
","찢으면, 이게 아기 옷이면 이것은 앞면과 뒷면이 없나요?","찢으면, 이 옷은 이제 아이가 입기엔 하면 이거 영 갈라져서 앞면과 뒷면이 아니겠어요?","찢으면, 이것은 아기의 옷이에요. 이거 어디 앉았던지 앞뒤 패널이 없나요?",찢으면 이 애기 이제 옷이엔 하면 이거 영 헤친 앞판 뒤판인가요?
0,"유월절 . 유월절 전의 . 옛날에는 유월절 전의 갈앗수다 . 유월 메칠날 유월 칠 일날 , 유월절 박아논 거 아니라 유월절이 그 유월절 전의 갈앗수다 . ᄒᆞᆫ 삼일 전이라도 ᄒᆞ를 전이라도 유월절 전의 .
","유월절 . 유월절 전에 . 옛날에는 유월절 전에 갈았습니다 . 유월 며칟날 , 유월 칠 일날 , 유월절 박아논 거 아니라 유월절이 그 유월절 전에 갈았습니다 . 한 삼일 전이라도 유월절 전에 .
","유월절 전. 예전에는 유월절 전에 있는 갈앗수였다. 유월 14일과 15일은 유월절로, 유월절 전에 박아놓은 건 유월절이 아니라 유월절 전의 갈앗수다. 세 일 전이나 둘 전이라도 유월절 전의 것이다.","부활절 전날. 예전에는 부활절 전날을 가리켜 유월절 전의라고 했습니다. 부활절을 맞아 유월 7일에 밭을 박아놓은 것이 아니라, 부활절 전날을 가리켜 유월절 전의라고 했습니다. 3일 전이나 1일 전이더라도 부활절 전날이라고 했습니다.",유월절이다. 유월절 전에는 예로부터 유월절 전날을 갈았다. 유월 메칠날인 7일에 유월절을 다신 것이 아니라 유월절 전날을 갈았다. 3일 전이나 얼마든지 유월절 전날을 갈았다.,"부활절 전야. 예전에는 부활절 전야를 갔다고 했다. 부활절 첫 날이 아니라 부활절 전날을 말하는 것이다. 세 일 전이든, 일 주일 전이든 부활절 전을 의미한다."
0,"응 , 웨가칩이서 갈아나고 요디 우리 친정은 수망린디 안 갈안 .
","응 외갓집에서 갈았었고 요기 우리 친정은 수망린데 안 갈았어 .
","응, 왜 바꾸셨어요? 요즘은 우리 친정은 수망리 안 가는거라니까.","응, 외국에서 살고 있어서 바쁘니까 우리 고향인 제주도에는 잘 못 갈 거야.","응, 우리 가족끼리 옮겨서 지금은 우리 집에 살고 있어. 친정은 한번도 가본 적이 없어.","응, 이사를 하고 나서 우리 친정은 자주 가지 않게 되었어."
0,"저 수박은 . 수박도 지금으로부터 나는 거 , 지금이 한 오월 경 , ᄉᆞ월 말일에 저거 놓기 시작헌다 . 오월 초로구나 , 오월 초 .
","저 수박은 . 수박도 지금으로부터 나는 거 , 지금이 한 오월 경 , 사월 말일에 저거 놓기 시작한다 . 오월 초로구나 오월 초 .
","그 수박은 이제 내가 기르고 있는 거야. 지금은 5월 경인데, 5월 말일에 그것을 놓으려고 해. 이제는 5월 초구나.","그 수박은 이제부터 나오는 거야, 지금은 5월 말인데 그걸 놓기 시작할 거야. 5월 초에 나오는구나, 5월 초에.","그 수박은 이제부터 내가 수확하는 거예요. 지금은 5월 경인데, 5월 말에 그 수박을 놓기 시작합니다. 5월 초이군요, 5월 초입니다.","그 수박은 이제부터 나는 거야. 지금은 5월 말인데, 5월 말에 그걸 놓기 시작해. 약간 더 일찍이란 얘기야, 5월 초쯤 되겠네."
0,"하여튼 고네할미는 잘 나 .
","하여튼 달개비는 잘 나 .
",어쨌든 할머니는 잘 계시네요.,어쨌든 할머니는 잘 계십니다.,어쨌든 할머니는 잘 있으시다.,어쨌든 할머니는 건강하시다니 다행입니다.
0,"게난 어머니는 협재로 가도 물질 이런 거 안 하고 농사만 지엇고예
","그러니까 어머니는 협재로 가도 물질 이런 거 안 하고 농사만 지었고요 ?
",제 어머니는 협재에 가도 물건 이런 것은 안 하고 농사만 짓고 있습니다.,저의 어머니는 협재로 가도 재산같은 것은 거의 다루지 않고 농사만 짓습니다.,제 어머니는 협재로 가도 물건 구입이나 이런 것은 하지 않고 농사만 짓셨어요.,저의 어머니는 협재로 가도 물질적인 것은 안 하시고 농사만 하셨습니다.
0,"그건 여자 칩이지예 ? 건 .
","그건 여자 집이지요 ? 건 .
",그건 여자 친구잖아? 건.,그건 여자 친구인거야? 그래.,그건 여자 친구 맞지? 그렇지.,그건 여자 친구인 걸로 보이는데 맞죠?
0,"ᄂᆞᆷ이 쉐든 ᄂᆞᆷ이 ᄆᆞᆯ이든 막 방목헹 내불민 게 .
","남의 쇠든 남의 말이든 막 방목을 해서 내버리면 .
",남자든 여자든 막 상관없이 바쁘게 일하고 있는 게.,누구든지 쉴 때나 일할 때나 막 방황하면서 지내는 거야.,"남이 어떻게 하든, 나는 무슨 일이든지 막 열심히 해 내 불쌍하게.",무엇이든 상관없이 막 방울따기를 해야겠어.
0,"아니 , 나는 나는 ᄄᆞᆫ 디 강 살고 , 집 상 강 ᄄᆞᆫ 디 강 살고 .
","아니 , 나는 딴 데 가서 살고 집 사서 가서 딴 데 가서 살고 .
","아니요, 저는 제주도에서 살고 있고, 집은 제주도에서 살고 있습니다.","아니, 저는 저는 이 강 건너편에 살고 있고, 집은 저 강 건너편에 살고 있어요.","아니오, 저는 제주도에서 살고 있으며, 집도 제주도에 있습니다.","아니요, 저는 저는 지금은 강에서 살고 있고, 고향에서도 강에서 살고 있습니다."
0,"ᄒᆞᆫ 집이 못 사는 사름 많아 .
","한 집에 못 사는 사람 많아 .
",혼자 사는 집이 많아서 집을 사지 못하는 사람이 많다.,한 집이 못 살 정도로 사람이 많아요.,이제 집이 사기 어려운 사람이 많아졌다.,그 집을 못 사는 사람이 많아요.
0,"우리도 베 서도양 , 우리 아이덜 두건 백 개 사단 , 다 사단 .
","우리도 베 있어도요 우리 아이들 두건 백 개 사다가 , 다 사다가 .
","우리도 바다를 본 적 있어, 우리 아이돌 두건 백 개 사다, 다 사다.","우리도 발 서해도, 우리 아이들이 입을 두 둥지 백 개씩 살게요, 다 살게요.","우리도 밖에서 봤어요, 우리 아이디어는 두건 100개 샀는데, 다 샀어요.",우리도 베 터판에서 일하고 있어요. 우리 아이한테 두건 백 개 사줘. 다 사 줄게요.
0,"경허단에 안 판관도 안뒈고 .
","그러다가 안 판관도 안되고 .
",경허단에 안 팔았다고 하더라도 안 뒀다는 보장은 없다.,"경허단에 안 판관도 안 뒀고. (경허단이라는 장소에서 판관을 뒀다는 말이 아닌, 조용한 상황에서 아무도 대화를 걸지 않았음을 나타내는 표현입니다.)",경허에서는 안 파는 관도 없었고.,"경험한 적도 없고, 보지도 않았어."
